PlotCode,Region,MDS1,MDS2,Forest,Latitude,Longitude,WTD,Fertility,Mortality,CWD.mean.all,preci_drie_3,preci_anual,SAND-0.30-,CLAY-0.30-
24MR_04,GS,-1.034138556,0.529713944,TF,6.14754,-58.683865,0,-0.70331,1.57205,-141.7755102,445.97607,2504.21021,48,34
A_IVO,SWA,0.981746949,-0.299624334,TF,-11.75,-66.03333,0,-0.35017,2.37036,-292.2653061,97.04822,1754.49097,46,32
A11,GS,-0.556535149,0.290443005,TF,5.544137,-53.813175,-21.51522,-0.6101,1.39493,-67.83673469,314.26691,2037.07703,50,31
ACU_01,SWA,2.222606591,0.274946603,TF,-15.24611,-61.242778,-18.75334,0.07741,2.81072,-394.5306122,90.80717,1272.52344,59,27
ACU_02,SWA,2.279751644,0.15506243,TF,-15.245209,-61.242778,-18.75334,0.07741,2.81072,-394.5306122,90.80717,1272.52344,59,27
AGP_01,NWA,0.232593953,-0.384023352,TF,-3.71667,-70.3,-3.35698,-0.29479,2.03116,-24.81632653,525.12231,3242.76025,39,33
AGP_02,NWA,0.251236174,-0.471584335,TF,-3.71667,-70.290991,0,-0.29479,2.03116,-25.18367347,525.12231,3242.76025,40,33
AL_01,GS,-0.353977803,1.077775268,TF,5.34185,-55.766887,0,-0.40654,1.37811,-77.18367347,415.37875,2191.67505,62,25
ALF_01,SA,0.756470138,-0.043125809,TF,-9.5983,-55.9369,-12.49714,-0.51452,2.03336,-292.8367347,125.74794,2202.43213,55,26
ALF_02,SA,0.824299675,-0.094414268,TF,-9.5784,-55.9176,-12.60395,-0.51452,2.03336,-291,125.74794,2202.43213,52,29
ALP_30,NWA,-0.165909669,-1.638300388,TF,-3.95,-73.416667,0,-0.53067,2.19679,-17.28571429,528.953,3034.08105,55,24
ALTA_FLOR,NWA,0.126238883,-0.458413028,TF,-0.9,-75.43333,0,-0.10536,2.28422,-8.204081633,614.72394,2967.0415,45,29
ALTA_FLOR2,NWA,-0.102389832,-0.780330176,TF,-0.896,-75.462,-11.15434,-0.06777,2.28422,-8.530612245,614.72394,2967.0415,52,28
ALV_01,SWA,2.779562322,0.398269435,TF,-16.11575,-61.894306,-24.38392,0.04204,2.97642,-383.3469388,110.38651,1189.1748,50,36
ALV_02,SWA,3.194266196,-0.375906762,TF,-16.081083,-61.885556,-26.53544,0.04204,2.97642,-386.3469388,110.38651,1189.1748,52,35
AMarinho-TF,EA,-0.167871977,0.451974099,TF,-0.547753,-52.274535,-7.59899,-0.56122,1.28454,-176.9387755,271.28223,2424.79126,38,41
AMATF_01,EA,-0.152435245,0.106919881,TF,-0.606863,-52.50912,-9.58267,-0.61104,1.21915,-190.5510204,283.64606,2417.84595,36,42
AMATF_02,EA,0.002304647,0.077062099,TF,-0.60433,-52.51076,-17.01381,-0.61104,1.21915,-190.5510204,283.64606,2417.84595,36,42
AMATF_03,EA,-0.148028656,0.104369422,TF,-0.601997,-52.50778,-28.45808,-0.61104,1.21915,-190.5510204,283.64606,2417.84595,35,44
AMATF_04,EA,-0.100700218,0.17525215,TF,-0.600189,-52.50513,-6.86656,-0.61104,1.21915,-190.5510204,283.64606,2417.84595,35,44
AMATF_05,EA,-0.062207026,0.167434882,TF,-0.599366,-52.50654,-5.73739,-0.61104,1.21915,-190.5510204,283.64606,2417.84595,35,44
AMATF_06,EA,0.132526835,1.330931036,TF,-0.596508,-52.50523,-13.26009,-0.61104,1.21915,-190.5510204,283.64606,2417.84595,35,44
AMD_01,SWA,0.427703119,-0.309067847,TF,-12.53333,-70.083333,0,-0.10706,2.4842,-76.91836735,489.54327,3798.24561,32,32
AMD_02,SWA,0.409964287,-0.315985099,TF,-12.532429,-70.083333,0,-0.10706,2.4842,-76.91836735,489.54327,3798.24561,32,32
AMU_01,SWA,0.708202952,-0.459491653,TF,-12.531528,-70.083333,0,-0.10706,2.4842,-76.91836735,489.54327,3798.24561,32,32
AMU_02,SWA,0.620701206,-0.385404305,TF,-12.530627,-70.083333,-2.25834,-0.10706,2.4842,-76.91836735,489.54327,3798.24561,32,32
ANA_01,CA,-0.311337684,-0.327183881,TF,-2.05,-60.37,-13.4432,-0.75982,1.203,-60.46938776,362.715,2563.18701,37,44
ANN_02,NWA,0.540594936,-0.469092844,TF,-0.531528,-76.43333,-4.44038,0.18841,2.27776,-17.75510204,680.71069,3274.55029,50,27
ANR,GS,-0.1761501,0.244257559,TF,3.634231,-53.2,-15.53368,-0.32112,1.3643,-87.7755102,376.04858,2381.54492,38,43
AP_LO1-0500,EA,-0.601358263,-0.155951653,TF,0.966472,-51.618833,0,-0.19873,1.31365,-203.9591837,291.13226,2354.09961,39,41
AP_LO1-2500,EA,-0.562766076,0.034273416,TF,0.966722,-51.636722,-14.57237,-0.19873,1.31365,-200.122449,291.13226,2354.09961,38,41
AP_LO2-0500,EA,-0.68767094,-0.124838829,TF,0.975611,-51.618722,-0.57984,-0.19873,1.31365,-203.9591837,291.13226,2354.09961,39,41
AP_LO2-2500,EA,-0.489700198,-0.011490498,TF,0.975417,-51.636611,-17.02907,-0.19873,1.31365,-200.122449,291.13226,2354.09961,39,40
AP_LO2-4500,EA,-0.667871005,-0.093855773,TF,0.975139,-51.655028,-12.90913,-0.19411,1.31365,-200.122449,291.13226,2354.09961,40,39
APAYACU,NWA,-0.005724217,-0.725155934,TF,-3.11667,-72.7125,-7.73632,-0.18717,2.20565,-8.979591837,629.41357,3423.83545,44,28
APUI_01,GS,-0.106774467,-0.166088622,TF,-6.808911,-59.679994,-8.27039,-0.61947,1.60593,-211.0816327,202.1949,2562.52124,47,38
APUI_02,GS,-0.062468138,-0.372612134,TF,-7.2284028,-60.00849722,-14.81651,-0.58771,1.60593,-194.8367347,238.17278,2610.88721,43,38
APUI_03,GS,-0.095022597,-0.24695381,TF,-7.105189,-59.933508,-1.46487,-0.61753,1.60593,-193,234.41647,2610.552,42,41
ARW1,GS,0.472850979,0.478173633,TF,2.81457,-53.36276,-21.19478,-0.27405,1.3643,-117.9387755,335.62,2259.86475,41,42
ARW2,GS,0.352415019,0.640806886,TF,2.82127,-53.3659,-17.8378,-0.27405,1.3643,-117.9387755,335.62,2259.86475,42,42
ARW3,GS,0.363299261,0.506400648,TF,2.81487,-53.36775,-9.58267,-0.27405,1.3643,-117.9387755,335.62,2259.86475,42,41
B4,GS,-0.493684429,0.317507907,TF,5.494124,-53.987238,-19.37896,-0.57515,1.39493,-71.02040816,388.23486,2273.44946,49,34
BAC_01,SWA,0.955836601,-0.31878644,TF,-11.88333,-71.38333,-7.59899,0.43547,2.42713,-126.0816327,219.34218,2145.15503,47,29
BACAR_02,EA,-0.081175491,0.296066552,TF,-1.432429,-48.65,-9.17067,-0.46998,1.49188,-118.3469388,382.4021,2812.59766,40,32
BALSAURA,NWA,0.368298599,-0.901418086,TF,-1.9347,-77.28102,-11.36797,-0.00894,2.26276,-14.59183673,952.9613,4277.2793,41,41
BAM_01,SWA,0.966861129,-0.65793585,TF,-11.81943,-71.39009,-10.6508,0.43118,2.42713,-129.0612245,219.34218,2145.15503,44,32
BATABURO,NWA,0.154361286,-0.468905031,TF,-1.2,-76.71667,0,0.093,2.27117,-15.14285714,679.02533,3304.9729,52,28
BB_05L,GS,-0.475671849,0.702401762,TF,4.98666,-55.195414,-5.95102,-0.42905,1.37735,-77.57142857,346.48218,2090.25439,47,35
BB_07L,GS,-0.320369652,0.758500464,TF,4.92298,-55.129613,-11.47478,-0.42498,1.37735,-86.3877551,346.48218,2090.25439,54,28
BEE_01,SWA,1.513060981,-0.879689793,TF,-16.53333,-64.583333,0,-0.07043,2.98068,-90.48979592,294.29886,3070.90137,35,33
BEE_05,SWA,1.612836465,-0.883539526,TF,-16.532429,-64.583333,0,-0.07043,2.98068,-90.48979592,294.29886,3070.90137,35,33
BEL_MOC1,EA,-0.524307592,0.103984968,TF,-1.44092,-48.413278,-9.01808,-0.5583,1.56456,-90.12244898,415.26688,2939.63354,40,32
BEL_MOC2,EA,-0.525761513,0.084232606,TF,-1.44002,-48.413278,-9.01808,-0.5583,1.56456,-90.12244898,415.26688,2939.63354,40,32
BENCON_2,CA,-0.01233367,-0.248422125,TF,-4.449306,-70.016472,0,-0.34734,2.0371,-44.79591837,435.10901,2957.32446,38,33
BENCON_3,CA,-0.298538088,-0.344980862,TF,-4.502689,-70.032117,-5.49325,-0.32681,2.0371,-45.65306122,451.33447,3018.14331,35,38
BENCON_4,CA,-0.218147312,-0.183943912,TF,-4.489136,-70.014589,0,-0.32681,2.0371,-45.34693878,435.10901,2957.32446,38,34
BENCON_5,CA,-0.23490604,-0.196823693,TF,-4.494344,-69.992336,-1.57168,-0.32681,2.0371,-45.95918367,420.9646,2915.92676,33,40
BENI_03,SWA,2.058316623,-0.000740343,TF,-14.842335,-66.336889,-2.24308,-0.00133,2.72221,-208.9183673,175.47665,1936.32935,41,31
BENI_04,SWA,3.379338671,1.216718651,TF,-14.865278,-66.331111,-1.25124,0.00443,2.72221,-206.3265306,175.47665,1936.32935,45,27
BENI_05,SWA,1.701145554,-0.863883643,TF,-14.755358,-66.342779,-3.44854,-0.00133,2.72221,-219.8163265,175.47665,1936.32935,29,33
